country,year,category,sumPrice,meanPrice,medianPrice
CMR,2018,cereals and tubers,14711.92,22.29078787878788,26.09
CMR,2018,"meat, fish and eggs",297.09000000000003,3.1605319148936175,2.18
CMR,2018,oil and fats,47.21,1.097906976744186,1.06
CMR,2018,pulses and nuts,14414.3,54.80722433460076,65.39
CMR,2018,vegetables and fruits,4879.95,34.856785714285714,6.210000000000001
COD,2018,cereals and tubers,357.89,0.5915537190082645,0.5
COD,2018,"meat, fish and eggs",1049.48,5.895955056179775,5.5649999999999995
COD,2018,miscellaneous food,302.71,1.2305284552845528,1.09
COD,2018,non-food,247.09,1.2542639593908629,1.02
COD,2018,oil and fats,279.43,1.376502463054187,1.24
COD,2018,pulses and nuts,188.1,1.000531914893617,0.87
COD,2018,vegetables and fruits,25.7,0.803125,0.62
COG,2018,cereals and tubers,304.65,1.2334008097165992,1.17
COG,2018,"meat, fish and eggs",1074.88,5.192657004830918,5.08
COG,2018,oil and fats,180.53,1.542991452991453,1.56
COG,2018,pulses and nuts,289.52,2.31616,2.35
COG,2018,vegetables and fruits,24.33,3.04125,3.125
COL,2018,cereals and tubers,23872.25,105.16409691629956,0.64
COL,2018,"meat, fish and eggs",206.076,2.4828433734939757,2.36
COL,2018,milk and dairy,20.06,1.18,0.39
COL,2018,miscellaneous food,49.66,0.8276666666666667,0.62
COL,2018,non-food,2265.22,37.13475409836065,3.0
COL,2018,oil and fats,25.57,1.5041176470588236,1.49
COL,2018,pulses and nuts,62.03,1.192884615384615,1.0750000000000002
COL,2018,vegetables and fruits,234.66,0.5910831234256927,0.55
CPV,2018,cereals and tubers,107.21,0.9404385964912282,0.91
DJI,2018,cereals and tubers,589.54,2.224679245283019,0.68
DJI,2018,miscellaneous food,27.15,0.7337837837837838,0.73
DJI,2018,non-food,31.7,0.8805555555555555,0.9
DJI,2018,oil and fats,54.09,1.5025,1.69
DJI,2018,pulses and nuts,33.92,1.2114285714285715,1.24
DOM,2018,cereals and tubers,850.4300000000001,18.487608695652177,22.075000000000003
DOM,2018,"meat, fish and eggs",12.34,1.028333333333333,1.05
DOM,2018,pulses and nuts,1833.16,33.33018181818182,1.12
ECU,2018,cereals and tubers,867.5500000000001,5.9831034482758625,0.62
EGY,2018,cereals and tubers,16.36,0.4544444444444444,0.43
EGY,2018,"meat, fish and eggs",96.313,4.013041666666667,1.82
EGY,2018,milk and dairy,18.54,1.0905882352941176,1.51
EGY,2018,miscellaneous food,5.49,0.7842857142857144,0.78
EGY,2018,oil and fats,98.53,2.662972972972973,1.54
EGY,2018,pulses and nuts,17.99,1.124375,1.15
EGY,2018,vegetables and fruits,17.02,0.5673333333333334,0.41
ETH,2018,cereals and tubers,10751.53,37.20252595155709,36.72
ETH,2018,"meat, fish and eggs",1383.93,57.66375,57.115
ETH,2018,milk and dairy,13.81,1.381,1.36
ETH,2018,miscellaneous food,10.99,0.9990909090909093,1.07
ETH,2018,non-food,18.49,0.7395999999999999,0.64
GHA,2018,cereals and tubers,15872.29,42.78245283018868,39.86
GHA,2018,"meat, fish and eggs",3.32,3.32,3.32
GHA,2018,pulses and nuts,146.26,146.26,146.26
GHA,2018,vegetables and fruits,245.31,6.13275,3.535
GIN,2018,cereals and tubers,469.63,0.7586914378029079,0.65
GIN,2018,"meat, fish and eggs",667.52,2.8284745762711863,2.89
GIN,2018,miscellaneous food,53.63,0.8938333333333334,0.89
GIN,2018,oil and fats,218.95,1.2804093567251462,1.33
GIN,2018,pulses and nuts,147.11,0.9490967741935484,0.85
GIN,2018,vegetables and fruits,64.19,1.211132075471698,0.93
GMB,2018,cereals and tubers,464.14,0.7947602739726027,0.63
GMB,2018,"meat, fish and eggs",664.38,2.259795918367347,1.835
GMB,2018,milk and dairy,161.83,1.9038823529411768,1.37
GMB,2018,miscellaneous food,249.1,1.0645299145299143,1.05
GMB,2018,non-food,169.98,1.0364634146341465,1.04
GMB,2018,oil and fats,144.24,1.4870103092783509,1.58
GMB,2018,pulses and nuts,153.68,1.0598620689655174,0.7
GMB,2018,vegetables and fruits,593.34,1.4093586698337293,1.04
GNB,2018,cereals and tubers,124.35,1.1304545454545454,1.01
GNB,2018,miscellaneous food,29.524,0.6560888888888889,0.87
GNB,2018,oil and fats,93.57,1.8714,1.84
GTM,2018,cereals and tubers,3135.02,26.795042735042735,20.69
GTM,2018,"meat, fish and eggs",1031.65,27.88243243243243,1.95
GTM,2018,milk and dairy,11.66,1.9433333333333336,1.75
GTM,2018,miscellaneous food,1082.56,23.033191489361705,19.65
GTM,2018,pulses and nuts,3106.65,54.50263157894737,57.78
GTM,2018,vegetables and fruits,7096.23,23.41990099009901,11.84
HND,2018,cereals and tubers,18777.35,293.39609375,34.465
HND,2018,pulses and nuts,7317.97,318.1726086956522,45.05
HTI,2018,cereals and tubers,913.32,1.8909316770186335,1.61
HTI,2018,miscellaneous food,224.29,3.3983333333333334,3.4
HTI,2018,oil and fats,422.05,6.3946969696969695,6.3
HTI,2018,pulses and nuts,798.49,5.358993288590604,5.42
IDN,2018,cereals and tubers,4.35,0.8699999999999999,0.99
IDN,2018,"meat, fish and eggs",68.88,4.92,5.155
IDN,2018,milk and dairy,3.61,0.722,0.72
IDN,2018,miscellaneous food,4.37,0.874,0.89
IDN,2018,oil and fats,5.1,1.02,1.03
IDN,2018,vegetables and fruits,30.21,3.021,2.94
IND,2018,cereals and tubers,2890.89,1.9170358090185675,0.37
IND,2018,milk and dairy,296.43,0.6361158798283262,0.625
IND,2018,miscellaneous food,2442.44,1.5208219178082192,0.59
IND,2018,oil and fats,2793.39,1.4230208863983698,1.36
IND,2018,pulses and nuts,1535.72,0.9895103092783504,0.98
IND,2018,vegetables and fruits,280.652,0.3499401496259351,0.31
IRN,2018,cereals and tubers,29.869999999999997,2.4891666666666663,2.505
IRN,2018,"meat, fish and eggs",50.66,4.221666666666667,4.33
IRN,2018,miscellaneous food,10.97,0.9141666666666668,0.88
IRN,2018,oil and fats,17.48,1.4566666666666668,1.4
IRN,2018,pulses and nuts,25.83,2.1525,2.0149999999999997
IRQ,2018,cereals and tubers,512.454,0.7847687595712097,0.84
IRQ,2018,"meat, fish and eggs",2810.469,4.30393415007657,3.16
IRQ,2018,milk and dairy,1659.34,3.456958333333333,3.37
IRQ,2018,miscellaneous food,1053.44,2.158688524590164,0.85
IRQ,2018,non-food,4009.55,6.1685384615384615,4.21
IRQ,2018,oil and fats,214.67,1.301030303030303,1.26
IRQ,2018,pulses and nuts,522.46,1.5977370030581042,1.69
IRQ,2018,vegetables and fruits,367.56,1.1631645569620253,1.0
JOR,2018,cereals and tubers,789.34,0.9966414141414142,1.04
JOR,2018,"meat, fish and eggs",4945.67,5.894719904648391,3.26
JOR,2018,milk and dairy,2243.93,3.895711805555555,2.9850000000000003
JOR,2018,miscellaneous food,198.42,0.6889583333333333,0.63
JOR,2018,non-food,1720.39,3.982384259259259,1.15
JOR,2018,oil and fats,1676.68,5.821805555555556,5.16
JOR,2018,pulses and nuts,942.5,2.298780487804878,2.13
JOR,2018,vegetables and fruits,1617.71,1.4706454545454546,1.06
JPN,2018,cereals and tubers,781.59,8.141562500000001,4.37
JPN,2018,milk and dairy,45.02,1.8758333333333337,1.865
JPN,2018,miscellaneous food,42.81,1.7837500000000002,1.78
JPN,2018,vegetables and fruits,98.1,2.0437499999999997,1.795
KAZ,2018,cereals and tubers,37.39,0.3894791666666666,0.43
KAZ,2018,"meat, fish and eggs",219.55,4.573958333333334,4.59
KAZ,2018,milk and dairy,13.96,0.5816666666666667,0.5700000000000001
KAZ,2018,oil and fats,60.22,1.2545833333333334,1.24
KEN,2018,cereals and tubers,5688.34,15.757174515235455,1.0
KEN,2018,milk and dairy,5.28,0.44,0.44
KEN,2018,miscellaneous food,1.267,0.6335,0.6335
KEN,2018,non-food,36.0,1.0,1.045
KEN,2018,oil and fats,25.79,1.9838461538461536,1.89
KEN,2018,pulses and nuts,3991.9,24.047590361445785,0.93
KEN,2018,vegetables and fruits,0.097,0.097,0.097
KGZ,2018,cereals and tubers,1448.64,0.7738461538461539,0.77
KGZ,2018,"meat, fish and eggs",4345.71,3.322408256880734,4.16
KGZ,2018,milk and dairy,1875.58,2.2248873072360618,0.76
KGZ,2018,miscellaneous food,451.32,0.6598245614035088,0.69
KGZ,2018,non-food,288.3,0.6322368421052632,0.64
KGZ,2018,oil and fats,1428.0,3.1315789473684212,2.465
KGZ,2018,pulses and nuts,984.85,1.4398391812865496,1.285
KGZ,2018,vegetables and fruits,1556.415,0.8704781879194631,0.62
KHM,2018,cereals and tubers,103.4,0.4437768240343347,0.44
KHM,2018,"meat, fish and eggs",744.21,4.252628571428572,3.37
KHM,2018,miscellaneous food,0.45,0.225,0.225
KHM,2018,non-food,1967.91,6.7858965517241385,6.705
KHM,2018,oil and fats,135.88,1.5618390804597702,1.4
KHM,2018,pulses and nuts,28.55,0.7930555555555556,0.865
KHM,2018,vegetables and fruits,4.01,0.6683333333333333,0.625
LAO,2018,cereals and tubers,651.81,0.6754507772020725,0.71
LAO,2018,"meat, fish and eggs",8062.256,4.660263583815029,4.23
LAO,2018,miscellaneous food,145.35,0.937741935483871,0.95
LAO,2018,non-food,343.42,1.0833438485804416,1.09
LAO,2018,oil and fats,525.13,1.7504333333333333,1.795
LAO,2018,vegetables and fruits,255.01,1.5741358024691356,1.45
LBN,2018,"meat, fish and eggs",2082.51,2.3216387959866225,2.05
LBN,2018,milk and dairy,425.89,1.458527397260274,1.49
LBN,2018,non-food,12185.5,13.539444444444444,13.0
LBN,2018,oil and fats,1147.03,7.1689375,7.13
LBN,2018,pulses and nuts,1060.45,1.831519861830743,1.82
LBN,2018,vegetables and fruits,148.49,0.7314778325123154,0.66
LBR,2018,cereals and tubers,11949.46,27.660787037037036,31.765
LBR,2018,miscellaneous food,507.59,3.934806201550388,3.6
LBR,2018,non-food,1759.74,2.923156146179402,3.105
LBR,2018,oil and fats,530.36,3.761418439716312,3.57
LBR,2018,pulses and nuts,118.72,0.9062595419847328,0.86
LBR,2018,vegetables and fruits,309.25,2.2089285714285714,2.045
LBY,2018,cereals and tubers,2684.02,1.698746835443038,1.48
LBY,2018,"meat, fish and eggs",14768.18,11.95804048582996,8.82
LBY,2018,milk and dairy,3062.4,4.331541725601132,2.67
LBY,2018,miscellaneous food,4433.38,2.8806887589343733,2.63
LBY,2018,non-food,8366.26,8.36626,3.76
LBY,2018,oil and fats,1111.85,3.609902597402597,3.26
LBY,2018,pulses and nuts,1328.05,2.170016339869281,2.17
LBY,2018,vegetables and fruits,2180.25,2.349407327586207,2.07
LKA,2018,cereals and tubers,18.62,0.5642424242424243,0.56
LKA,2018,miscellaneous food,2.0999999999999996,0.6999999999999998,0.7
LKA,2018,non-food,3.5,0.7,0.75
LSO,2018,cereals and tubers,1134.47,3.85874149659864,4.495
LSO,2018,oil and fats,133.38,1.389375,1.395
LSO,2018,pulses and nuts,164.64,0.9096132596685084,0.9
MDA,2018,cereals and tubers,1.0,0.3333333333333333,0.35
MDG,2018,cereals and tubers,234.81,0.600537084398977,0.6
MDG,2018,miscellaneous food,159.1,0.811734693877551,0.79
MDG,2018,oil and fats,236.64,1.2654545454545454,1.25
MEX,2018,cereals and tubers,50.71,0.6109638554216867,0.64
MEX,2018,pulses and nuts,65.42,1.0903333333333334,1.1
MLI,2018,cereals and tubers,1544.8,0.5233062330623306,0.47
MLI,2018,pulses and nuts,996.07,0.90882299270073,0.9
MMR,2018,cereals and tubers,55.1,0.4709401709401709,0.46
MMR,2018,miscellaneous food,30.96,0.2789189189189189,0.23
MMR,2018,non-food,689.57,2.9595278969957084,1.13
MMR,2018,oil and fats,193.13,1.5207086614173229,1.38
MMR,2018,pulses and nuts,147.02,1.2565811965811966,1.07
MNG,2018,cereals and tubers,58.13,0.5536190476190477,0.5
MNG,2018,"meat, fish and eggs",256.04,2.61265306122449,2.565
MNG,2018,milk and dairy,34.42,0.7323404255319149,0.74
MOZ,2018,cereals and tubers,680.025,0.6494985673352436,0.69
MOZ,2018,miscellaneous food,197.437,1.1091966292134832,1.11
MOZ,2018,oil and fats,255.23,1.3648663101604277,1.2
MOZ,2018,pulses and nuts,741.15,0.9563225806451612,0.94
MRT,2018,cereals and tubers,308.55,0.7434939759036144,0.71
MRT,2018,"meat, fish and eggs",3776.59,87.82767441860466,39.3
MRT,2018,milk and dairy,27.380000000000003,3.911428571428572,4.16
MRT,2018,miscellaneous food,86.27,0.7013821138211381,0.7
MRT,2018,non-food,211.36,19.214545454545455,18.03
MRT,2018,oil and fats,137.74,1.2189380530973453,1.14
MRT,2018,pulses and nuts,12.9,2.15,2.335
MWI,2018,cereals and tubers,751.776,0.7632243654822335,0.18
MWI,2018,non-food,27.25,1.1354166666666667,1.145
MWI,2018,pulses and nuts,280.39,0.994290780141844,0.98
NAM,2018,cereals and tubers,404.752,0.8723103448275862,0.86
NER,2018,cereals and tubers,7351.37,4.811106020942408,0.44
NGA,2018,cereals and tubers,43788.32,21.164001933301112,3.27
NGA,2018,"meat, fish and eggs",1792.056,2.918657980456026,3.29
NGA,2018,milk and dairy,508.41,3.2800645161290323,3.28
NGA,2018,miscellaneous food,248.57,0.7841324921135646,0.66
NGA,2018,non-food,123.03,0.6245177664974619,0.66
NGA,2018,oil and fats,730.41,1.799039408866995,1.74
NGA,2018,pulses and nuts,25443.41,29.828147713950763,3.34
NGA,2018,vegetables and fruits,372.504,0.4418790035587189,0.33
NIC,2018,cereals and tubers,1454.67,10.937368421052632,0.65
NIC,2018,"meat, fish and eggs",136.84,2.4435714285714285,2.47
NIC,2018,milk and dairy,26.58,1.8985714285714284,1.865
NIC,2018,miscellaneous food,78.98,1.3163333333333334,0.385
NIC,2018,non-food,51.09,3.6492857142857145,3.585
NIC,2018,oil and fats,26.65,1.2113636363636362,1.22
NIC,2018,pulses and nuts,880.25,22.00625,19.865
NIC,2018,vegetables and fruits,57.06,0.425820895522388,0.3
NPL,2018,cereals and tubers,63.44,0.4040764331210191,0.4
PAK,2018,cereals and tubers,74.79,0.4323121387283237,0.36
PAK,2018,"meat, fish and eggs",89.48,1.1471794871794871,1.045
PAK,2018,milk and dairy,26.51,0.7164864864864865,0.72
PAK,2018,miscellaneous food,18.277,0.3448490566037736,0.44
PAK,2018,non-food,348.67,2.582740740740741,0.87
PAK,2018,oil and fats,134.85,1.5680232558139535,1.56
PAK,2018,pulses and nuts,124.7,1.056779661016949,0.995
PAN,2018,cereals and tubers,462.78,10.517727272727273,0.905
PAN,2018,pulses and nuts,2103.87,39.695660377358486,9.0
PER,2018,cereals and tubers,115.25,0.9604166666666668,0.8
PER,2018,"meat, fish and eggs",9.89,2.4725,2.49
PER,2018,miscellaneous food,5.38,0.7685714285714286,0.77
PER,2018,oil and fats,17.05,2.13125,2.13
PHL,2018,cereals and tubers,570.31,0.8411651917404129,0.78
PHL,2018,"meat, fish and eggs",2082.085,2.8136283783783784,2.995
PHL,2018,pulses and nuts,207.51,1.5840458015267176,1.55
PHL,2018,vegetables and fruits,1243.77,1.3896871508379889,1.2
PRY,2018,cereals and tubers,32.61,0.5435,0.46
PSE,2018,cereals and tubers,5943.38,15.558586387434556,1.28
PSE,2018,"meat, fish and eggs",4778.91,8.657445652173912,5.13
PSE,2018,milk and dairy,2941.06,6.745550458715596,2.22
PSE,2018,miscellaneous food,455.92,1.6948698884758364,0.9
PSE,2018,non-food,220.38,1.3040236686390532,1.56
PSE,2018,oil and fats,1381.42,7.674555555555556,7.635
PSE,2018,pulses and nuts,382.11,2.158813559322034,2.11
PSE,2018,vegetables and fruits,626.69,1.2409702970297032,1.14
RUS,2018,cereals and tubers,16.91,0.2486764705882353,0.25
RWA,2018,cereals and tubers,793.691,0.5110695428203478,0.46
RWA,2018,"meat, fish and eggs",450.45,2.229950495049505,2.26
RWA,2018,miscellaneous food,204.83,0.6850501672240803,0.45
RWA,2018,oil and fats,431.38,1.760734693877551,1.78
RWA,2018,pulses and nuts,76.31,0.4263128491620112,0.43
RWA,2018,vegetables and fruits,70.808,0.2276784565916399,0.23
SDN,2018,cereals and tubers,9229.39,24.877061994609164,3.06
SDN,2018,non-food,7.62,1.524,1.31
SEN,2018,cereals and tubers,620.19,0.4386067892503536,0.44
SLE,2018,cereals and tubers,173.84,0.4209200968523002,0.4
SLE,2018,"meat, fish and eggs",668.83,3.2001435406698566,2.85
SLE,2018,miscellaneous food,486.7,4.345535714285714,4.295
SLE,2018,oil and fats,301.74,1.2678151260504202,1.04
SLE,2018,pulses and nuts,217.85,1.0423444976076557,1.03
SLV,2018,cereals and tubers,1418.27,16.884166666666665,15.595
SLV,2018,pulses and nuts,1627.54,32.5508,49.34
SOM,2018,cereals and tubers,21273.94,23.984148816234494,21.39
SOM,2018,"meat, fish and eggs",55286.46,425.2804615384615,244.61
SOM,2018,milk and dairy,6904.7,54.36771653543307,41.39
SOM,2018,non-food,7751.63,31.131044176706823,35.83
SOM,2018,oil and fats,6271.82,50.17456,52.17
SSD,2018,cereals and tubers,780.32,2.5090675241157556,2.28
SSD,2018,"meat, fish and eggs",8543.8,88.99791666666665,86.985
SSD,2018,miscellaneous food,103.75,2.034313725490196,1.99
SSD,2018,non-food,431.0,2.6770186335403725,2.32
SSD,2018,oil and fats,171.77,3.123090909090909,2.79
SSD,2018,pulses and nuts,383.28,3.141639344262295,2.96
SWZ,2018,cereals and tubers,425.03,1.70012,0.88
SWZ,2018,miscellaneous food,67.45,0.8537974683544304,0.92
SWZ,2018,non-food,19.76,0.8981818181818183,0.93
SWZ,2018,oil and fats,7.82,1.564,1.67
SWZ,2018,pulses and nuts,76.65,1.782558139534884,1.74
SWZ,2018,vegetables and fruits,32.96,0.9694117647058824,0.98
SYR,2018,cereals and tubers,389323.49,163.44395046179682,0.555
SYR,2018,"meat, fish and eggs",49967.26,35.513333333333335,2.14
SYR,2018,milk and dairy,965.18,1.1586794717887154,0.58
SYR,2018,miscellaneous food,273.194,0.5174128787878788,0.415
SYR,2018,non-food,3601.53,3.1399564080209243,1.94
SYR,2018,oil and fats,336.53,1.1891519434628974,1.17
SYR,2018,pulses and nuts,1381.13,1.251023550724638,1.07
SYR,2018,vegetables and fruits,1496.932,0.6588609154929578,0.49
TCD,2018,cereals and tubers,341.1,0.4226765799256506,0.34
TCD,2018,"meat, fish and eggs",8482.84,29.55693379790941,27.79
TGO,2018,cereals and tubers,99.21,0.5113917525773195,0.435
THA,2018,cereals and tubers,13.42,0.3727777777777777,0.345
THA,2018,"meat, fish and eggs",16.53,1.3775000000000002,1.3650000000000002
TJK,2018,cereals and tubers,118.31,0.4333699633699633,0.34
TJK,2018,"meat, fish and eggs",409.16,2.7277333333333336,2.4
TJK,2018,milk and dairy,16.0,0.4848484848484848,0.51
TJK,2018,miscellaneous food,255.95,1.651290322580645,0.91
TJK,2018,non-food,811.41,3.4381779661016947,1.0
TJK,2018,oil and fats,90.88,1.336470588235294,1.35
TJK,2018,pulses and nuts,177.66,1.42128,1.32
TJK,2018,vegetables and fruits,28.321,0.2302520325203252,0.21
TLS,2018,cereals and tubers,20.86,1.8963636363636365,2.0
TLS,2018,"meat, fish and eggs",8.84,2.21,1.75
TLS,2018,non-food,8.6,1.2285714285714284,1.01
TUR,2018,cereals and tubers,168.23,0.8539593908629441,0.76
TUR,2018,"meat, fish and eggs",882.57,5.0432571428571435,4.46
TUR,2018,milk and dairy,905.89,7.425327868852459,1.415
TUR,2018,miscellaneous food,1161.37,4.779300411522633,1.94
TUR,2018,non-food,765.674,4.7854624999999995,1.17
TUR,2018,oil and fats,270.24,4.43016393442623,5.09
TUR,2018,pulses and nuts,326.94,2.534418604651163,2.18
TUR,2018,vegetables and fruits,315.5,0.9798136645962732,0.73
TZA,2018,cereals and tubers,12822.1,8.991654978962131,0.53
TZA,2018,"meat, fish and eggs",2448.97,3.218094612352168,3.12
TZA,2018,miscellaneous food,246.54,1.1574647887323943,1.15
TZA,2018,oil and fats,753.36,2.58,2.155
TZA,2018,pulses and nuts,10906.33,12.22682735426009,0.91
TZA,2018,vegetables and fruits,657.46,0.5506365159128979,0.52
UGA,2018,cereals and tubers,119.18,0.4414074074074074,0.405
UGA,2018,oil and fats,81.52,1.6303999999999998,1.605
UGA,2018,pulses and nuts,43.39,0.602638888888889,0.615
UGA,2018,vegetables and fruits,3.92,0.2799999999999999,0.27
UKR,2018,cereals and tubers,103.97,0.5712637362637363,0.55
UKR,2018,"meat, fish and eggs",338.2,3.019642857142857,3.155
UKR,2018,milk and dairy,112.49,2.1632692307692305,2.035
UKR,2018,miscellaneous food,7.85,0.490625,0.48
UKR,2018,non-food,203.71,1.0609895833333334,0.605
UKR,2018,oil and fats,97.3,1.7375,1.4
UKR,2018,vegetables and fruits,35.39,0.4163529411764706,0.39
VEN,2018,non-food,0.0019302899999999,0.0004825724999999,0.000415
VNM,2018,cereals and tubers,5.18,0.37,0.37
YEM,2018,cereals and tubers,1249.62,1.4530465116279068,1.1
YEM,2018,"meat, fish and eggs",34661.46,74.06294871794871,6.445
YEM,2018,miscellaneous food,339.32,0.8906036745406823,1.01
YEM,2018,non-food,12013.87,8.918982925018561,4.0
YEM,2018,oil and fats,392.22,2.0322279792746114,1.93
YEM,2018,pulses and nuts,1629.38,2.1667287234042556,2.2
YEM,2018,vegetables and fruits,466.31,1.240186170212766,1.2
ZAF,2018,cereals and tubers,7.59,0.2108333333333333,0.17
ZMB,2018,cereals and tubers,849.44,0.4737534857780257,0.27
ZMB,2018,non-food,20.53,1.283125,1.29
ZMB,2018,pulses and nuts,1698.94,1.6257799043062202,1.61
ZWE,2018,cereals and tubers,180.66433,0.5392965074626865,0.46
ZWE,2018,"meat, fish and eggs",0.0217,0.0018083333333333,0.0017
ZWE,2018,miscellaneous food,90.89718,0.8824968932038836,1.0
ZWE,2018,non-food,0.009866,0.0002349047619047,0.00023
ZWE,2018,oil and fats,405.13,2.5008024691358024,2.25
ZWE,2018,pulses and nuts,414.03,2.4644642857142856,2.4
AFG,2019,cereals and tubers,133.03,0.4734163701067616,0.4
AFG,2019,non-food,1424.49,3.709609375,2.075
AGO,2019,cereals and tubers,73.3,1.5270833333333331,1.86
AGO,2019,milk and dairy,316.35,26.3625,27.165
AGO,2019,miscellaneous food,8.280000000000001,2.76,2.95
AGO,2019,oil and fats,65.85,5.4875,5.654999999999999
ARG,2019,cereals and tubers,51.98,0.8383870967741937,0.71
ARG,2019,"meat, fish and eggs",2.83,2.83,2.83
